Question,Answer
Are you legally authorized to work in CA?,Yes
How many years of work experience do you have with SAS (Software)?,0
Have you completed the following level of education: Master's Degree?,Yes
How many years of work experience do you have with Retail?,10
How many years of work experience do you have with Google Analytics?,0
How many years of work experience do you have with SAP Products?,8
How many years of work experience do you have with Transportation?,10
How many years of work experience do you have with Databases?,5
How many years of work experience do you have with Ivalua?,0
How many years of FIN experience do you currently have?,3
Description,
How many years of work experience do you have with Microsoft PowerPoint?,3
How many years of work experience do you have with SQL?,2
Major / Field of study,
How many years of work experience do you have with Enterprise Content Management?,1
How many years of work experience do you have with Microsoft Excel Macros?,4
How many years of work experience do you have with Net Asset Value (NAV)?,1
How many years of work experience do you have with Microsoft Excel?,10
How many years of MRKT experience do you currently have?,0
How many years of work experience do you have with Tableau?,1
How many years of work experience do you have with R (Programming Language)?,0
How many years of work experience do you have with SharePoint?,1
State / Province,
How many years of IT experience do you currently have?,10
First name,
How many years of work experience do you have with PHP?,0
How many years of work experience do you have with Supply Chain Management?,10
How many years of work experience do you have with Freight Forwarding?,10
School,
How many years of work experience do you have with Data Analysis?,4
How many years of work experience do you have with Cost-Benefit Analysis?,1
What is your level of proficiency in chi?,None
Do you speak English?,Yes
How many years of work experience do you have with Dashboard Building?,2
State,
Do you have the following license or certification: Certified Business Professional Executive Level?,No
City,
Do you have a valid driver's license?,Yes
Are you comfortable working in a hybrid setting?,Yes
Do you speak Spanish?,Yes
How many years of work experience do you have with Google Cloud Platform (GCP)?,1
How many years of work experience do you have with SQL Server Reporting Services (SSRS)?,0
Please submit a resume or LinkedIn profile,1004148470.docx
Company,
How many years of work experience do you have with SAP BusinessObjects?,0
ZIP / Postal Code,
Last name,
How many years of work experience do you have with Demand Forecasting?,1
How many years of MGMT experience do you currently have?,2
How many years of SUPL experience do you currently have?,5
How many years of work experience do you have with Sales?,8
Degree,
We must fill this position urgently. Can you start immediately?,No
Do you speak Chinese?,No
How many years of work experience do you have with Salesforce.com?,0
How many years of work experience do you have with Visual Basic for Applications (VBA)?,0
How many years of work experience do you have with Microsoft Office?,10
How many years of work experience do you have with MySQL?,1
How many years of work experience do you have with Import Operations?,10
Your title,
How many years of ACCT experience do you currently have?,5
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
How many years of ANLS experience do you currently have?,5
Have you completed the following level of education: Master of Business Administration?,Yes
Street address line 1,
Are you comfortable working in an onsite setting?,Yes
How many years of work experience do you have with Microsoft Power BI?,2
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with SAP ERP?,7
How many years of work experience do you have with Contract Manufacturing?,5
